,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Cowboy Bebop - Statistics,TV,26,Finished Airing,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Saturdays at 01:00 (JST),Sunrise,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",24 min. per ep.,R - 17+ (violence & profanity),8.77,44,1361127,59739,116155,772438,77983,29003,365548,1361127,247156,196558,143229,67822,22388,9594,3445,1449,786,1689
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,Movie,1,Finished Airing,"Oct 16, 2020",,,ufotable,"['Action', 'Historical', 'Demons', 'Supernatural', 'Shounen']",1 hr. 57 min.,R - 17+ (violence & profanity),8.77,212,588696,6220,14505,315298,3361,586,254946,588696,82854,91613,61276,20510,5552,1981,723,310,208,865
Descending Stories: Showa Genroku Rakugo Shinju,TV,12,Finished Airing,"Jan 7, 2017 to Mar 25, 2017",Winter 2017,Saturdays at 02:25 (JST),Studio Deen,"['Drama', 'Historical', 'Josei']",24 min. per ep.,PG-13 - Teens 13 or older,8.77,1078,149820,2619,9647,60384,4898,3066,71825,149820,17191,16731,11340,4491,1560,687,269,120,74,548
Mushishi Zoku Shou 2nd Season - Statistics,TV,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",Fall 2014,Sundays at 00:30 (JST),Artland,"['Adventure', 'Fantasy', 'Historical', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,8.76,763,211148,1145,11257,105368,5360,2542,86621,211148,25205,27574,20278,7683,2040,732,218,91,61,481
Fighting Spirit,TV,75,Finished Airing,"Oct 4, 2000 to Mar 27, 2002",Fall 2000,Tuesdays at 00:50 (JST),Madhouse,"['Comedy', 'Sports', 'Drama', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,8.74,357,412952,15127,33777,235669,20810,10354,112342,412952,59039,66670,51547,20799,5352,1922,585,223,150,686
Made in Abyss - Statistics,TV,13,Finished Airing,"Jul 7, 2017 to Sep 29, 2017",Summer 2017,Fridays at 21:30 (JST),Kinema Citrus,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",25 min. per ep.,R - 17+ (violence & profanity),8.72,97,947049,31090,57688,601112,22387,13252,252610,947049,141099,178436,120662,45563,13465,5395,2246,984,532,998
Made in Abyss Movie 3: Fukaki Tamashii no Reimei - Statistics,Movie,1,Finished Airing,"Jan 17, 2020",,,Kinema Citrus,"['Sci-Fi', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",1 hr. 45 min.,R - 17+ (violence & profanity),8.72,643,247753,1759,4815,113406,1421,413,127698,247753,24865,34511,22996,7305,2125,660,322,149,87,223
MUSHI-SHI -Next Passage-,TV,10,Finished Airing,"Apr 5, 2014 to Jun 21, 2014",Spring 2014,Saturdays at 00:00 (JST),Artland,"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",24 min. per ep.,PG-13 - Teens 13 or older,8.72,664,240624,1261,13144,119340,6387,2731,99022,240624,27315,32119,23984,9113,2311,803,222,124,61,486
Samurai X: Trust and Betrayal,OVA,4,Finished Airing,"Feb 20, 1999 to Sep 22, 1999",,,Studio Deen,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",30 min. per ep.,R - 17+ (violence & profanity),8.72,683,236338,5404,6710,154582,3235,1891,69920,236338,40760,34334,26689,12185,3721,1417,464,173,106,523
Your Lie in April,TV,22,Finished Airing,"Oct 10, 2014 to Mar 20, 2015",Fall 2014,Fridays at 01:20 (JST),A-1 Pictures,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",22 min. per ep.,PG-13 - Teens 13 or older,8.71,23,1617179,69069,87801,1166008,43840,38687,280843,1617179,337068,281711,205360,96724,36078,16605,7973,3359,1771,2977
