,type,episodes,status,aired,premiered,broadcast,studios,genres,duration,rating,score,popularity,members,favorites,watching,completed,on-hold,dropped,plan to watch,total,10,9,8,7,6,5,4,3,2,1
Hanamonogatari - Statistics,TV,5,Finished Airing,"Aug 16, 2014",Summer 2014,Saturdays at 19:00 (JST),Shaft,"['Mystery', 'Comedy', 'Supernatural']",25 min. per ep.,R - 17+ (violence & profanity),7.98,437,347556,981,8573,247644,4058,1606,85675,347556,23797,39049,69168,42760,12497,3882,1247,441,238,450
Fist of the North Star,TV,109,Finished Airing,"Oct 4, 1984 to Mar 5, 1987",Fall 1984,Thursdays at 19:00 (JST),Toei Animation,"['Action', 'Drama', 'Martial Arts', 'Sci-Fi', 'Shounen']",25 min. per ep.,R - 17+ (violence & profanity),7.98,1448,104184,1849,11416,34597,9675,5744,42752,104184,6070,6324,9925,8174,3140,1346,556,260,146,345
Log Horizon - Statistics,TV,25,Finished Airing,"Oct 5, 2013 to Mar 22, 2014",Fall 2013,Saturdays at 17:30 (JST),Satelight,"['Action', 'Game', 'Adventure', 'Magic', 'Fantasy']",25 min. per ep.,PG-13 - Teens 13 or older,7.98,101,924718,9493,56443,602313,34469,37868,193625,924718,52718,112171,164009,100438,33817,15215,5694,2033,920,937
Magical Girl Lyrical Nanoha A's,TV,13,Finished Airing,"Oct 2, 2005 to Dec 25, 2005",Fall 2005,Unknown,Seven Arcs,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",25 min. per ep.,PG-13 - Teens 13 or older,7.98,2172,58205,939,1434,40910,1104,850,13907,58205,4260,6911,9498,6400,2284,886,263,85,56,74
86 - Statistics,TV,11,Currently Airing,"Apr 11, 2021 to ?",Spring 2021,Sundays at 00:00 (JST),A-1 Pictures,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",23 min. per ep.,R - 17+ (violence & profanity),7.97,734,219545,1910,125757,11,3118,3179,87480,219545,5126,8002,13096,7188,2303,968,431,185,81,136
Azumanga Daioh: The Animation,TV,26,Finished Airing,"Apr 9, 2002 to Oct 1, 2002",Spring 2002,Tuesdays at 01:25 (JST),J.C.Staff,"['Slice of Life', 'Comedy', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.97,583,271752,4748,14257,147035,16453,13430,80577,271752,18800,27769,36556,26254,10664,5329,1833,724,418,419
"Clannad: Another World, Tomoyo Chapter",Special,1,Finished Airing,"Jul 16, 2008",,,Kyoto Animation,"['Drama', 'Romance', 'School', 'Slice of Life']",25 min.,PG-13 - Teens 13 or older,7.97,596,266197,777,2027,239761,920,727,22762,266197,28032,38993,52460,35600,13914,5765,1904,730,413,560
Fate/kaleid liner Prisma Illya: Vow in the Snow,Movie,1,Finished Airing,"Aug 26, 2017",,,SILVER LINK.,"['Action', 'Fantasy', 'Magic']",1 hr. 29 min.,PG-13 - Teens 13 or older,7.97,1903,70454,281,1931,41415,735,441,25932,70454,4030,7029,11170,6303,2029,775,300,147,77,90
Ginga Eiyuu Densetsu: Die Neue These - Seiran 1 - Statistics,Movie,4,Finished Airing,"Sep 27, 2019",,,Production I.G,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",25 min. per ep.,R - 17+ (violence & profanity),7.97,3896,19002,29,642,10502,237,133,7488,19002,869,1612,3439,1804,426,123,67,19,4,25
Hikaru no Go: Hokuto Hai e no Michi - Statistics,Special,1,Finished Airing,"Jan 3, 2004",,,Studio Pierrot,"['Game', 'Shounen']",1 hr. 17 min.,G - All Ages,7.97,3742,20997,32,329,16290,184,159,4035,20997,1477,2413,3932,2550,746,252,62,22,10,21
You and Me 2,TV,13,Finished Airing,"Apr 3, 2012 to Jun 26, 2012",Spring 2012,Unknown,J.C.Staff,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Slice of Life']",24 min. per ep.,PG-13 - Teens 13 or older,7.97,1831,75874,350,2667,48858,1793,1190,21366,75874,4623,7874,12359,8314,2692,930,229,77,43,49
Kindaichi Shounen no Jikenbo - Statistics,TV,148,Finished Airing,"Apr 7, 1997 to Sep 11, 2000",Spring 1997,Mondays at 19:00 (JST),Toei Animation,"['Mystery', 'Shounen']",24 min. per ep.,R - 17+ (violence & profanity),7.97,3587,22916,176,2602,5262,2057,1147,11848,22916,844,1214,1781,1303,484,181,72,24,13,17
Kobato. - Statistics,TV,24,Finished Airing,"Oct 6, 2009 to Mar 23, 2010",Fall 2009,Unknown,Madhouse,"['Comedy', 'Drama', 'Fantasy', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.97,1120,144238,1344,8104,64912,7620,7668,55934,144238,8796,11079,15210,11251,4836,2513,855,298,142,118
Porco Rosso,Movie,1,Finished Airing,"Jul 18, 1992",,,Studio Ghibli,"['Action', 'Military', 'Adventure', 'Comedy', 'Historical', 'Drama', 'Romance']",1 hr. 33 min.,G - All Ages,7.97,905,180198,1361,1863,147033,923,514,29865,180198,15506,25033,35340,24604,8744,3090,987,329,166,136
Macross F Movie 2: Sayonara no Tsubasa - Statistics,Movie,1,Finished Airing,"Feb 26, 2011",,,"Satelight,       8bit","['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']",1 hr. 54 min.,PG-13 - Teens 13 or older,7.97,3476,24247,122,445,16564,245,205,6788,24247,1779,2802,3593,2393,883,358,165,43,22,50
Mairimashita! Iruma-kun 2nd Season - Statistics,TV,21,Currently Airing,"Apr 17, 2021 to ?",Spring 2021,Saturdays at 17:35 (JST),Bandai Namco Pictures,"['Comedy', 'Demons', 'Fantasy', 'School', 'Shounen', 'Supernatural']",24 min. per ep.,PG-13 - Teens 13 or older,7.97,1369,112150,870,52860,7,974,483,57826,112150,2318,2474,4942,3509,931,309,93,31,12,48
Penguindrum,TV,24,Finished Airing,"Jul 8, 2011 to Dec 23, 2011",Summer 2011,Fridays at 02:10 (JST),Brain's Base,"['Mystery', 'Comedy', 'Dementia', 'Psychological', 'Drama']",24 min. per ep.,R - 17+ (violence & profanity),7.97,613,257383,6523,16136,108611,13416,11310,107910,257383,15739,21597,25857,17435,8122,3861,1986,784,443,459
Nekomonogatari Black,TV,4,Finished Airing,"Dec 31, 2012",Fall 2012,Mondays at 22:00 (JST),Shaft,"['Comedy', 'Supernatural', 'Romance', 'Ecchi']",24 min. per ep.,R - 17+ (violence & profanity),7.97,330,447891,1052,9359,356155,3700,1875,76802,447891,32929,54869,100600,61572,17609,5643,1740,630,379,582
Usagi Drop Specials - Statistics,Special,4,Finished Airing,"Oct 28, 2011 to Jan 27, 2012",,,Production I.G,"['Josei', 'Slice of Life']",5 min. per ep.,PG-13 - Teens 13 or older,7.97,2093,61683,38,1140,49883,783,354,9523,61683,4382,7579,12711,7846,2522,899,188,58,30,51
All Saints Street 2,ONA,12,Finished Airing,"Oct 14, 2020 to Dec 16, 2020",,,"None found, add some","['Slice of Life', 'Comedy', 'Supernatural']",4 min. per ep.,PG-13 - Teens 13 or older,7.97,7321,4057,28,356,2269,64,68,1300,4057,281,391,619,367,106,40,6,4,4,7
"Yuri!!! On ICE: Yuri Plisetsky GPF in Barcelona EX ""Welcome to The Madness""",Special,1,Finished Airing,"May 26, 2017",,,MAPPA,"['Music', 'Sports']",2 min.,PG-13 - Teens 13 or older,7.97,2161,58887,191,1017,38928,415,433,18094,58887,6362,4128,5606,4716,2207,1082,298,148,96,240
Blast of Tempest,TV,24,Finished Airing,"Oct 5, 2012 to Mar 29, 2013",Fall 2012,Fridays at 02:00 (JST),Bones,"['Action', 'Mystery', 'Psychological', 'Drama', 'Magic', 'Fantasy', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.97,281,504142,6014,29212,278859,21082,19687,155302,504142,30445,51102,69780,47187,18180,7906,3128,1124,520,436
Non Non Biyori - Statistics,TV,12,Finished Airing,"Oct 8, 2013 to Dec 24, 2013",Fall 2013,Tuesdays at 02:05 (JST),SILVER LINK.,"['Comedy', 'School', 'Seinen', 'Slice of Life']",24 min. per ep.,PG-13 - Teens 13 or older,7.96,464,332716,4873,22292,163367,12220,8736,126101,332716,16837,27392,46645,30560,9954,3972,1141,415,208,268
Trigun - Badlands Rumble,Movie,1,Finished Airing,"Apr 2, 2010",,,Madhouse,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Shounen']",1 hr. 30 min.,PG-13 - Teens 13 or older,7.96,1338,115762,210,1724,85139,750,318,27831,115762,7019,14219,21727,13772,4273,1428,385,120,55,99
Uma Musume: Pretty Derby (TV) Season 2 - Statistics,TV,13,Finished Airing,"Jan 5, 2021 to Mar 30, 2021",Winter 2021,Tuesdays at 00:00 (JST),Studio Kai,"['Slice of Life', 'Comedy', 'Sports']",23 min. per ep.,PG-13 - Teens 13 or older,7.96,3460,24473,274,3923,9467,655,706,9722,24473,1313,1799,2470,1826,702,304,108,39,25,34
xxxHOLiC The Movie: A Midsummer Night's Dream,Movie,1,Finished Airing,"Aug 20, 2005",,,Production I.G,"['Mystery', 'Comedy', 'Psychological', 'Supernatural', 'Drama']",1 hr.,PG-13 - Teens 13 or older,7.96,2186,57556,100,771,42347,505,284,13649,57556,4109,6343,9760,6976,2237,771,180,69,26,44
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi - Statistics,Movie,1,Finished Airing,"Mar 5, 2011",,,Shin-Ei Animation,"['Adventure', 'Comedy', 'Kids', 'Fantasy', 'Mecha', 'Shounen']",1 hr. 48 min.,PG - Children,7.96,5794,7321,51,124,6294,52,142,709,7321,905,866,1390,1039,354,166,78,16,7,35
Girls & Panzer: Saishuushou Part 1 - Statistics,Movie,1,Finished Airing,"Dec 9, 2017",,,Actas,"['Military', 'School']",47 min.,PG-13 - Teens 13 or older,7.96,2956,33074,96,2171,17868,608,264,12163,33074,1750,2906,4848,3047,889,288,93,43,16,28
IDOLiSH7 Vibrato - Statistics,ONA,8,Finished Airing,"Feb 17, 2018 to Mar 7, 2019",,,TROYCA,['Music'],14 min. per ep.,PG-13 - Teens 13 or older,7.96,5088,10013,62,882,4545,395,298,3893,10013,702,611,982,690,242,95,61,23,12,28
Welcome to Irabu's Office,TV,11,Finished Airing,"Oct 15, 2009 to Dec 24, 2009",Fall 2009,Fridays at 00:45 (JST),Toei Animation,"['Comedy', 'Psychological', 'Drama', 'Seinen']",23 min. per ep.,R - 17+ (violence & profanity),7.96,1820,76997,1093,4064,23853,3492,3455,42133,76997,2857,4827,6574,4130,1704,810,360,192,144,197
Macross: Do You Remember Love? - Statistics,Movie,1,Finished Airing,"Jul 7, 1984",,,"Artland,       Tatsunoko Production","['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']",1 hr. 55 min.,PG-13 - Teens 13 or older,7.96,2748,37917,592,854,23664,371,259,12769,37917,3166,3907,5414,3551,1419,613,261,97,49,39
Darker than Black: Kuro no Keiyakusha Gaiden - Statistics,Special,4,Finished Airing,"Jan 27, 2010 to Jul 21, 2010",,,Bones,"['Action', 'Mystery', 'Sci-Fi', 'Super Power']",24 min. per ep.,R - 17+ (violence & profanity),7.95,714,226301,762,5218,174581,2756,1475,42271,226301,14672,27912,43559,27990,9209,3218,928,276,136,135
Final Fantasy VII: Advent Children Complete - Statistics,OVA,1,Finished Airing,"Apr 16, 2009",,,Square Enix,"['Action', 'Fantasy', 'Super Power']",2 hr. 6 min.,PG-13 - Teens 13 or older,7.95,1313,118574,692,1220,103654,435,306,12959,118574,13712,15325,19309,15136,6843,2710,1135,407,210,174
Full Metal Panic! The Second Raid - Statistics,TV,13,Finished Airing,"Jul 14, 2005 to Oct 20, 2005",Summer 2005,Thursdays at 00:00 (JST),Kyoto Animation,"['Action', 'Military', 'Mecha']",24 min. per ep.,R - 17+ (violence & profanity),7.95,685,233195,1208,4851,181108,3921,2329,40986,233195,14277,30433,46067,30741,9690,3235,842,239,116,131
Searching for the Full Moon,TV,52,Finished Airing,"Apr 6, 2002 to Mar 29, 2003",Spring 2002,Saturdays at 07:30 (JST),Studio Deen,"['Music', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",24 min. per ep.,PG-13 - Teens 13 or older,7.95,1586,93876,1581,3955,53221,4899,5624,26177,93876,7696,8205,10408,8885,4160,2194,687,307,147,126
Is the Order a Rabbit? Bloom,TV,12,Finished Airing,"Oct 10, 2020 to Dec 26, 2020",Fall 2020,Saturdays at 21:30 (JST),Encourage Films,"['Slice of Life', 'Comedy']",24 min. per ep.,PG-13 - Teens 13 or older,7.95,2631,40818,299,4340,14305,1003,766,20404,40818,1980,2193,4048,2810,997,366,98,42,17,43
Haikyuu!! Movie 2: Shousha to Haisha - Statistics,Movie,1,Finished Airing,"Sep 18, 2015",,,Production I.G,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",1 hr. 28 min.,PG-13 - Teens 13 or older,7.95,2182,57829,65,1378,34590,634,550,20677,57829,3882,3155,5761,4476,1471,597,142,33,20,222
The King's Avatar,ONA,12,Finished Airing,"Apr 7, 2017 to Jun 16, 2017",,,B.CMAY PICTURES,"['Action', 'Game']",24 min. per ep.,PG-13 - Teens 13 or older,7.95,527,296482,3296,23539,179693,7642,10216,75392,296482,20072,30427,44477,28984,10878,4641,1838,767,384,425
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi - Statistics,OVA,1,Finished Airing,"Feb 4, 2013",,,Tatsunoko Production,"['Comedy', 'School', 'Shounen']",27 min.,PG-13 - Teens 13 or older,7.95,3883,19163,19,326,14331,211,168,4127,19163,1271,2002,3476,2235,695,232,39,27,18,43
Wotakoi: Love is Hard for Otaku,TV,11,Finished Airing,"Apr 13, 2018 to Jun 22, 2018",Spring 2018,Fridays at 00:55 (JST),A-1 Pictures,"['Comedy', 'Romance', 'Slice of Life']",22 min. per ep.,PG-13 - Teens 13 or older,7.95,197,622091,6680,47825,402670,15689,13296,142611,622091,35683,65996,117062,75880,22216,7429,2002,660,284,306
Big Windup!,TV,25,Finished Airing,"Apr 13, 2007 to Sep 28, 2007",Spring 2007,Unknown,A-1 Pictures,"['Comedy', 'Seinen', 'Sports']",25 min. per ep.,PG-13 - Teens 13 or older,7.94,1681,86268,1595,4687,43804,4108,2684,30985,86268,4311,7527,11577,8083,2768,1113,327,115,60,67
My Love Story!!,TV,24,Finished Airing,"Apr 9, 2015 to Sep 24, 2015",Spring 2015,Thursdays at 01:29 (JST),Madhouse,"['Comedy', 'Romance', 'Shoujo']",22 min. per ep.,PG-13 - Teens 13 or older,7.94,267,516509,3889,47373,286161,31596,31203,120176,516509,30886,52410,80554,53972,20484,8655,2826,1049,556,486
Overlord - Statistics,TV,13,Finished Airing,"Jul 7, 2015 to Sep 29, 2015",Summer 2015,Tuesdays at 23:00 (JST),Madhouse,"['Action', 'Adventure', 'Fantasy', 'Game', 'Magic', 'Supernatural']",24 min. per ep.,R - 17+ (violence & profanity),7.94,68,1136737,17978,51343,866070,21909,29067,168348,1136737,88789,142651,222551,144892,49692,20315,8717,3666,1698,1464
Touhai Densetsu Akagi: Yami ni Maiorita Tensai - Statistics,TV,26,Finished Airing,"Oct 5, 2005 to Mar 29, 2006",Fall 2005,Wednesdays at Unknown,Madhouse,"['Game', 'Psychological', 'Thriller', 'Seinen']",23 min. per ep.,R - 17+ (violence & profanity),7.94,1705,84694,1010,4196,43604,3690,2688,30516,84694,4461,8087,12161,7996,2917,1075,382,153,76,105
Yakitate!! Japan - Statistics,TV,69,Finished Airing,"Oct 12, 2004 to Mar 14, 2006",Fall 2004,Unknown,Sunrise,"['Comedy', 'Shounen']",24 min. per ep.,PG-13 - Teens 13 or older,7.94,1732,82664,801,5149,41061,5893,4736,25825,82664,4430,7520,11342,8222,3140,1289,350,121,58,64
Yuru Yuri San☆Hai! - Statistics,TV,12,Finished Airing,"Oct 6, 2015 to Dec 22, 2015",Fall 2015,Tuesdays at 02:05 (JST),TYO Animations,"['Comedy', 'School', 'Shoujo Ai', 'Slice of Life']",23 min. per ep.,PG-13 - Teens 13 or older,7.94,1451,103349,636,4500,71079,2152,1433,24185,103349,6904,11185,18595,12281,4026,1432,393,168,86,107
Code Geass: Lelouch of the Re;surrection,Movie,1,Finished Airing,"Feb 9, 2019",,,Sunrise,"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",1 hr. 52 min.,R - 17+ (violence & profanity),7.94,684,234870,1519,4099,114226,1401,922,114222,234870,13726,18485,27853,17828,6469,2403,1300,541,308,373
Eyeshield 21 - Statistics,TV,145,Finished Airing,"Apr 6, 2005 to Mar 19, 2008",Spring 2005,Wednesdays at 19:00 (JST),Gallop,"['Action', 'Sports', 'Comedy', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,7.94,1042,154699,1771,14316,81760,14678,12028,31917,154699,9464,15280,23805,17668,6486,2775,839,347,143,157
Fate/Grand Order: Absolute Demonic Front - Babylonia,TV,21,Finished Airing,"Oct 5, 2019 to Mar 21, 2020",Fall 2019,Saturdays at 23:30 (JST),CloverWorks,"['Action', 'Supernatural', 'Magic', 'Fantasy']",23 min. per ep.,PG-13 - Teens 13 or older,7.94,889,183446,1682,23180,91990,6930,6136,55210,183446,10457,17179,27740,17289,6242,2389,1064,426,190,247
Hanasaku Iroha: Blossoms for Tomorrow,TV,26,Finished Airing,"Apr 3, 2011 to Sep 25, 2011",Spring 2011,Sundays at 22:00 (JST),P.A. Works,"['Slice of Life', 'Comedy', 'Drama']",24 min. per ep.,PG-13 - Teens 13 or older,7.94,560,280406,2324,17172,130662,11986,9885,110701,280406,11955,24372,38686,23928,8671,3449,1086,357,173,205
Hidamari Sketch x Honeycomb - Statistics,TV,12,Finished Airing,"Oct 5, 2012 to Dec 21, 2012",Fall 2012,Unknown,Shaft,"['Slice of Life', 'Comedy', 'School', 'Seinen']",24 min. per ep.,PG-13 - Teens 13 or older,7.94,3819,20124,157,818,11690,566,455,6595,20124,1044,2067,2981,1792,646,248,87,41,21,35
Love Live! The School Idol Movie - Statistics,Movie,1,Finished Airing,"Jun 13, 2015",,,Sunrise,"['Music', 'School', 'Slice of Life']",1 hr. 42 min.,PG-13 - Teens 13 or older,7.94,1412,107519,1073,2003,80097,770,690,23959,107519,11286,11586,16845,12120,4982,2257,805,362,185,243
Aria the Avvenire - Statistics,Special,3,Finished Airing,"Sep 26, 2015",,,TYO Animations,"['Sci-Fi', 'Slice of Life', 'Fantasy', 'Shounen']",21 min. per ep.,G - All Ages,7.93,3667,21803,88,936,10554,465,309,9539,21803,1394,1652,2429,1644,650,309,76,53,28,58
City Hunter - Statistics,TV,51,Finished Airing,"Apr 6, 1987 to Mar 28, 1988",Spring 1987,Mondays at 19:00 (JST),Sunrise,"['Action', 'Comedy', 'Mystery', 'Shounen']",25 min. per ep.,PG-13 - Teens 13 or older,7.93,2183,57870,733,4683,20865,3189,2063,27070,57870,2574,3360,5720,4340,1486,609,184,74,26,59
Detective Conan OVA 09: The Stranger in 10 Years... - Statistics,OVA,1,Finished Airing,"Jun 17, 2009",,,TMS Entertainment,"['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']",22 min.,PG-13 - Teens 13 or older,7.93,4020,17913,23,285,14850,133,190,2455,17913,1642,1804,2700,2139,745,305,76,40,17,43
Drifters - Statistics,TV,12,Finished Airing,"Oct 7, 2016 to Dec 23, 2016",Fall 2016,Fridays at 23:00 (JST),Hoods Drifters Studio,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai', 'Fantasy', 'Seinen']",23 min. per ep.,R - 17+ (violence & profanity),7.93,342,436926,3026,28304,267095,12628,16734,112165,436926,23947,46169,74540,46189,15871,6340,2703,966,406,387
ef - a tale of memories.,TV,12,Finished Airing,"Oct 7, 2007 to Dec 23, 2007",Fall 2007,Sundays at 01:35 (JST),Shaft,"['Mystery', 'Drama', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.93,717,225582,2666,8480,119292,7603,6531,83676,225582,15747,21491,27036,19274,8497,4175,1753,683,382,348
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai - Statistics,Movie,1,Finished Airing,"Feb 6, 1988",,,"Artland,       Madhouse","['Action', 'Military', 'Sci-Fi', 'Space']",59 min.,PG-13 - Teens 13 or older,7.93,3044,31596,47,530,22642,280,177,7967,31596,1946,3730,6488,4103,1062,397,98,102,23,185
Galaxy Warring State Chronicle Rai,TV,52,Finished Airing,"Apr 8, 1994 to Mar 31, 1995",Spring 1994,Fridays at 18:30 (JST),E&G Films,"['Sci-Fi', 'Adventure', 'Space', 'Romance', 'Shounen']",25 min. per ep.,PG-13 - Teens 13 or older,7.93,4694,12266,75,558,5344,389,381,5594,12266,702,845,1280,827,350,128,62,34,17,21
Haikyuu!! Movie 1: Owari to Hajimari - Statistics,Movie,1,Finished Airing,"Jul 3, 2015",,,Production I.G,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",1 hr. 29 min.,PG-13 - Teens 13 or older,7.93,2038,63985,78,1578,38391,713,583,22720,63985,4264,3612,6331,5170,1710,641,174,42,24,225
When They Cry,TV,26,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",Spring 2006,Wednesdays at 01:30 (JST),Studio Deen,"['Mystery', 'Dementia', 'Horror', 'Psychological', 'Supernatural', 'Thriller']",24 min. per ep.,R - 17+ (violence & profanity),7.93,168,669351,18150,40696,380832,34539,31389,181895,669351,53622,72253,92309,62578,26876,12262,6338,2738,1783,1591
Sans Famille,TV,23,Finished Airing,"Sep 1, 1996 to Mar 23, 1997",Fall 1996,Sundays at 19:30 (JST),Nippon Animation,"['Adventure', 'Slice of Life', 'Historical', 'Drama']",23 min. per ep.,G - All Ages,7.93,4182,16418,90,527,9558,391,333,5609,16418,1280,1281,2113,1551,587,227,86,39,20,29
Jormungand Season 2: Perfect Order,TV,12,Finished Airing,"Oct 10, 2012 to Dec 26, 2012",Fall 2012,Unknown,White Fox,"['Action', 'Adventure', 'Seinen']",24 min. per ep.,R+ - Mild Nudity,7.93,1021,157746,614,5759,114813,3460,2096,31618,157746,9445,18860,30864,19176,6222,2176,797,254,113,150
Kaleido Star - Statistics,TV,51,Finished Airing,"Apr 3, 2003 to Mar 27, 2004",Spring 2003,Saturdays at 09:30 (JST),Gonzo,"['Comedy', 'Sports', 'Drama', 'Fantasy', 'Shoujo']",23 min. per ep.,PG-13 - Teens 13 or older,7.93,1884,71801,1095,3245,38191,4154,3850,22361,71801,5068,6004,8090,6821,3080,1439,377,141,76,80
The World God Only Knows II,TV,12,Finished Airing,"Apr 12, 2011 to Jun 28, 2011",Spring 2011,Tuesdays at 01:30 (JST),Manglobe,"['Comedy', 'Harem', 'Romance', 'Shounen', 'Supernatural']",23 min. per ep.,PG-13 - Teens 13 or older,7.93,454,337447,917,8049,279450,5026,3671,41251,337447,23112,42920,73927,48760,15354,5073,1459,510,186,201
Macross - Statistics,TV,36,Finished Airing,"Oct 3, 1982 to Jun 26, 1983",Fall 1982,Sundays at 14:00 (JST),Tatsunoko Production,"['Action', 'Mecha', 'Military', 'Music', 'Romance', 'Sci-Fi', 'Space']",25 min. per ep.,PG-13 - Teens 13 or older,7.93,1674,86937,1484,,,,,,,,,,,,,,,,
Mobile Suit Gundam Thunderbolt - Statistics,ONA,4,Finished Airing,"Dec 25, 2015 to Apr 22, 2016",,,Sunrise,"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",18 min. per ep.,R - 17+ (violence & profanity),7.93,2600,41849,284,2672,25863,1093,586,11635,41849,2204,4888,7501,4239,1411,491,193,78,33,45
Naruto - Statistics,TV,220,Finished Airing,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,Thursdays at 19:30 (JST),Studio Pierrot,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",23 min. per ep.,PG-13 - Teens 13 or older,7.93,8,2060485,55451,156951,1647356,69055,106688,80435,2060485,247643,266856,391575,321713,119946,51088,16683,6562,3849,5873
One Piece Film: Gold - Statistics,Movie,1,Finished Airing,"Jul 23, 2016",,,Toei Animation,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']",2 hr.,PG-13 - Teens 13 or older,7.93,1198,133884,214,2576,111683,609,409,18607,133884,10806,15356,26204,18331,5999,1884,563,215,107,147
Overlord III - Statistics,TV,13,Finished Airing,"Jul 10, 2018 to Oct 2, 2018",Summer 2018,Tuesdays at 22:00 (JST),Madhouse,"['Action', 'Game', 'Supernatural', 'Magic', 'Fantasy']",23 min. per ep.,R - 17+ (violence & profanity),7.93,204,608806,3938,26682,491802,5089,4880,80353,608806,51019,78659,120408,78050,28519,10661,4737,1925,907,813
Plastic Memories - Statistics,TV,13,Finished Airing,"Apr 5, 2015 to Jun 28, 2015",Spring 2015,Sundays at 00:30 (JST),Doga Kobo,"['Sci-Fi', 'Drama', 'Romance']",24 min. per ep.,PG-13 - Teens 13 or older,7.93,154,711666,9326,36810,437651,21999,24409,190797,711666,56150,72372,105487,73665,29066,13226,5907,2258,1026,823
The Story of Saiunkoku,TV,39,Finished Airing,"Apr 8, 2006 to Feb 24, 2007",Spring 2006,Unknown,Madhouse,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Historical', 'Romance']",25 min. per ep.,PG-13 - Teens 13 or older,7.93,1740,82271,1030,5849,36772,5118,4090,30442,82271,4529,6480,8929,6770,2816,1418,359,142,80,77
Cromartie High School,TV,26,Finished Airing,"Oct 3, 2003 to Mar 26, 2004",Fall 2003,Fridays at Unknown,Production I.G,"['Comedy', 'School', 'Shounen']",12 min. per ep.,PG-13 - Teens 13 or older,7.93,1336,115865,1414,8539,50940,8211,5375,42800,115865,7001,9660,13663,9617,4095,1807,790,348,205,192
Sekai Ichi Hatsukoi - World's Greatest First Love 2,TV,12,Finished Airing,"Oct 8, 2011 to Dec 24, 2011",Fall 2011,Unknown,Studio Deen,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",24 min. per ep.,PG-13 - Teens 13 or older,7.93,1209,132872,685,3758,113265,1548,1732,12569,132872,15046,15828,19438,15337,6679,3198,1196,539,316,330
Sekaiichi Hatsukoi OVA - Statistics,OVA,2,Finished Airing,"Mar 22, 2011 to Sep 27, 2011",,,Studio Deen,"['Comedy', 'Drama', 'Romance', 'Shounen Ai']",21 min. per ep.,PG-13 - Teens 13 or older,7.93,2103,61334,161,1746,50305,675,549,8059,61334,6357,6192,8296,6907,3038,1221,362,151,95,115
Takarajima - Statistics,TV,26,Finished Airing,"Oct 8, 1978 to Apr 1, 1979",Fall 1978,Sundays at Unknown,"Madhouse,       TMS Entertainment","['Adventure', 'Mystery', 'Historical', 'Drama']",24 min. per ep.,PG-13 - Teens 13 or older,7.93,4335,15052,201,632,6632,432,362,6994,15052,1007,981,1463,1030,439,200,63,38,32,26
Prince of Tennis: National Championship Chapter,OVA,13,Finished Airing,"Mar 24, 2006 to Mar 23, 2007",,,M.S.C,"['Action', 'Comedy', 'Shounen', 'Sports']",23 min. per ep.,PG-13 - Teens 13 or older,7.93,2664,39898,59,826,33152,540,408,4972,39898,3161,4487,7027,5055,1750,623,174,77,30,35
Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal - Statistics,OVA,6,Finished Airing,"Jun 22, 2007 to Jan 25, 2008",,,M.S.C,"['Action', 'Comedy', 'Sports']",23 min. per ep.,PG-13 - Teens 13 or older,7.93,2980,32578,35,557,27559,285,245,3932,32578,2663,3677,5722,4048,1419,520,176,58,26,33
